HighSchool,HSCount,Stay,Dropout,Dropout_Rate
"Jo Byrns High School",5,5,0,100.00
"Assumption High School        ",1,1,0,100.00
"Haleyville High School        ",1,1,0,100.00
"Providence Academy",4,4,0,100.00
"Sebring High School           ",1,1,0,100.00
"Hampden Academy               ",1,1,0,100.00
"Abeka Academy",2,2,0,100.00
"Deerfield-Windsor School",1,1,0,100.00
"Lincoln High School           ",1,1,0,100.00
"North Hall High School        ",1,1,0,100.00
"Edwardsville High School      ",1,1,0,100.00
"Hononegah Comm High School",1,1,0,100.00
"Howard High School            ",1,1,0,100.00
"Morristown Hamblen East High",5,5,0,100.00
"Warren Hills Regional         ",1,1,0,100.00
"Wade Hampton High School",1,1,0,100.00
"Oak Hill Academy              ",1,1,0,100.00
"Gibbs High School",8,8,0,100.00
"Macon Christian Academy",1,1,0,100.00
"Lexington Christian Academy   ",1,1,0,100.00
"Buford High School            ",1,1,0,100.00
"Athens High School            ",1,1,0,100.00
"Brentwood Academy",1,1,0,100.00
"Glen Allen High School",1,1,0,100.00
"Lambert High School",1,1,0,100.00
"Humboldt High School",4,4,0,100.00
"Webb School Of Knoxville",3,3,0,100.00
"Trinity Christian Academy",4,4,0,100.00
"Keen Mountain Christian Acad",1,1,0,100.00
"West High School",5,5,0,100.00
"Decatur High School           ",2,2,0,100.00
"South Paulding High School",1,1,0,100.00
"First Assembly Christian Sch",1,1,0,100.00
"The Phoenix School",1,1,0,100.00
"Sailaway Learning and Academy",2,2,0,100.00
"Portage Central High School",1,1,0,100.00
"Canyon Crest Academy",1,1,0,100.00
"Covington High School",6,6,0,100.00
"Lockport High School          ",1,1,0,100.00
"Clarksville Academy",4,4,0,100.00
"North Oconee High School",1,1,0,100.00
"Abingdon High School          ",1,1,0,100.00
"Oasis International School",1,1,0,100.00
"Saint Pius X High School",1,1,0,100.00
"Kings High School             ",1,1,0,100.00
"Aurora West High School       ",1,1,0,100.00
"P D Jackson-Olin High School  ",1,1,0,100.00
"East High School",1,1,0,100.00
"Marian Catholic High School   ",1,1,0,100.00
"Bonny Eagle High School       ",1,1,0,100.00
"Tennessee Christian Academy",1,1,0,100.00
"Weaver High School            ",1,1,0,100.00
"Baker High School             ",1,1,0,100.00
"Clayton-Bradley Academy",3,3,0,100.00
"Cagaloglu High School",1,1,0,100.00
"New Hope Academy",2,2,0,100.00
"Rockledge High School         ",1,1,0,100.00
"Henry County High School",5,5,0,100.00
"Jackson Memorial High School  ",1,1,0,100.00
"Woodrow Wilson High School",1,1,0,100.00
"Boaz High School              ",1,1,0,100.00
"Brooks High School            ",1,1,0,100.00
"Apalachee High School",2,2,0,100.00
"Roswell High School           ",2,2,0,100.00
"Greenville High School        ",1,1,0,100.00
"North Paulding High School",1,1,0,100.00
"Sidney Lanier High School     ",1,1,0,100.00
"Thompson High School          ",1,1,0,100.00
"Colquitt County High School   ",1,1,0,100.00
"Christian Acad of Cumberlands",2,2,0,100.00
"Nashville Big Picture HS",4,4,0,100.00
"Riverdale Baptist School",1,1,0,100.00
"West Forsyth High School",2,2,0,100.00
"W T Woodson High School       ",1,1,0,100.00
"Middle College Austin Peay",6,6,0,100.00
"Space Coast Junior/senior Hs",1,1,0,100.00
"North Marion High School      ",1,1,0,100.00
"East Limestone High School    ",1,1,0,100.00
"Madisonville North Hopkins H S",1,1,0,100.00
"Escambia High School          ",2,2,0,100.00
"Baldwin Prep School",1,1,0,100.00
"American Heritage Sch Plantatn",1,1,0,100.00
"Magnolia High School",1,1,0,100.00
"Istituto Statale Marco Belli",1,1,0,100.00
"Union Grove High School       ",1,1,0,100.00
"Arabia Mountain High School",1,1,0,100.00
"Russellville High School      ",1,1,0,100.00
"Palm Harbor Univ High School",1,1,0,100.00
"Gateway Academy Brentwood",1,1,0,100.00
"Green Hill High School",17,17,0,100.00
"Chatt Girls Leadership Acad",3,3,0,100.00
"First Baptist Academy",1,1,0,100.00
"Airline High School           ",1,1,0,100.00
"Baldwyn High School           ",1,1,0,100.00
"Althoff Catholic High School",1,1,0,100.00
"Union County High School",9,9,0,100.00
"Redeemer Classical Academy",1,1,0,100.00
"Saint Andrews-Sewanee School",5,5,0,100.00
"Kirtland High School",1,1,0,100.00
"Laurel Springs School",1,1,0,100.00
"Nesbitt Discovery Academy",1,1,0,100.00
"Waterford Union High School",1,1,0,100.00
"Bowling Green High School     ",1,1,0,100.00
"McGehee High School",1,1,0,100.00
"East Jessamine High School",1,1,0,100.00
"Franklin Classical School",2,2,0,100.00
"Batavia High School           ",1,1,0,100.00
"Concord Christian School",2,2,0,100.00
"John Carroll High School      ",1,1,0,100.00
"Craigmont High School",1,1,0,100.00
"Christ's Legacy Academy",1,1,0,100.00
"Overton High School",2,2,0,100.00
"Intrepid Coll Prep Independ",3,3,0,100.00
"Gibson County High School",2,2,0,100.00
"Warren Woods Tower High School",1,1,0,100.00
"Xavier High School",1,1,0,100.00
"Clermont Northeastern         ",1,1,0,100.00
"Kettle Moraine High School    ",1,1,0,100.00
"Carson High School",1,1,0,100.00
"FAYETTE COUNTY HIGH SCHOOL",1,1,0,100.00
"Northwood High School",1,1,0,100.00
"Bullard High School",1,1,0,100.00
"William & Reed Academy",1,1,0,100.00
"Connections Academy",1,1,0,100.00
"Maryville Christian School",2,2,0,100.00
"West Texas High School",1,1,0,100.00
"Canon-McMillan Hs             ",1,1,0,100.00
"Richard Hardy Memorial School",5,5,0,100.00
"Wauwatosa East High School",1,1,0,100.00
Connections,1,1,0,100.00
"International Sch Of Choueifat",1,1,0,100.00
"Bellbrook High School         ",1,1,0,100.00
"James Buchanan High School",1,1,0,100.00
"Plymouth-Salem High School    ",1,1,0,100.00
"Prairie Ridge High School",3,3,0,100.00
"Middle College HS Memphis",2,2,0,100.00
"Franklin Road Academy",3,3,0,100.00
"North Broward School",1,1,0,100.00
"Berean Baptist Academy",1,1,0,100.00
"East Lyme High School         ",1,1,0,100.00
"Horizon High School",1,1,0,100.00
"Jakarta International School  ",1,1,0,100.00
"Peoria Christian",1,1,0,100.00
"St Mary High School           ",1,1,0,100.00
"Carlsbad High School          ",1,1,0,100.00
"Universidad Autonoma del Nores",1,1,0,100.00
"Happy Valley High School",3,3,0,100.00
"Ocean Township High School",1,1,0,100.00
"Wilmington High School",1,1,0,100.00
"Heritage International School",1,1,0,100.00
"Mountain View Christian Acad",1,1,0,100.00
"Millington Central High School",1,1,0,100.00
"Starfield College",2,2,0,100.00
"Newark Valley High School",1,1,0,100.00
"Triangle Math and Science Acad",1,1,0,100.00
"Hamilton Heights High School  ",1,1,0,100.00
"Mead Senior High school       ",1,1,0,100.00
"Ronald Reagan High School",1,1,0,100.00
"Saint Thomas More Academy",1,1,0,100.00
"Scotts Hill High School",1,1,0,100.00
"Denmark High School",1,1,0,100.00
"Mercer Co High School         ",1,1,0,100.00
"West Creek High School",2,2,0,100.00
"Basha High School",1,1,0,100.00
"Serrano High School           ",1,1,0,100.00
"Judah Christian High School",1,1,0,100.00
"Collins Hill High School      ",2,2,0,100.00
